filler
編號	圖片	寶可夢	各料理出現機率排名											
#001		妙蛙種子	健康青汁 (好吃到不行)	黏豆湯 (好吃到不行)	健康青汁 (超好吃)	黏豆湯 (超好吃)	黃咖哩 (好吃到不行)	大雜燴 (好吃到不行)	黃咖哩 (超好吃)	大雜燴 (超好吃)	健康青汁 (好吃)	黏豆湯 (好吃)	黃咖哩 (好吃)	大雜燴 (好吃)
			80.00%	80.00%	26.67%	26.67%	3.33%	3.33%	2.00%	2.00%	1.95%	1.95%	0.23%	0.23%
#004		小火龍	焰辣湯 (好吃到不行)	焰辣湯 (超好吃)	紅燉湯 (好吃到不行)	紅燉湯 (超好吃)	焰辣湯 (好吃)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	紅燉湯 (好吃)	大雜燴 (好吃)			
			80.00%	40.00%	19.76%	4.30%	3.81%	3.33%	2.00%	0.27%	0.23%			
#007		傑尼龜	藍蘇打 (好吃到不行)	藍蘇打 (超好吃)	清蒸鍋 (超好吃)	大雜燴 (好吃到不行)	大雜燴 (超好吃)	藍蘇打 (好吃)	清蒸鍋 (好吃)	大雜燴 (好吃)				
			33.56%	7.70%	7.21%	3.33%	2.00%	0.49%	0.49%	0.23%				
#010		綠毛蟲	藍蘇打 (普通)	大雜燴 (普通)										
			20.00%	4.17%										
#013		獨角蟲	黃咖哩 (普通)	大雜燴 (普通)										
			4.17%	4.17%										
#016		波波	絲滑可麗餅 (普通)	黃咖哩 (普通)	大雜燴 (普通)									
			25.00%	4.17%	4.17%									
#019		小拉達	絲滑可麗餅 (普通)	藍蘇打 (普通)	大雜燴 (普通)									
			25.00%	20.00%	4.17%									
#021		烈雀	絲滑可麗餅 (普通)	紅燉湯 (普通)	大雜燴 (普通)									
			25.00%	14.29%	4.17%									
#023		阿柏蛇	黏豆湯 (好吃)	藍蘇打 (好吃)	黏豆湯 (超好吃)	藍蘇打 (超好吃)	大雜燴 (好吃)	大雜燴 (超好吃)						
			24.52%	19.71%	18.02%	15.41%	4.65%	2.00%						
#025		皮卡丘	麻麻燴飯 (好吃到不行)	麻麻燴飯 (超好吃)	麻麻燴飯 (好吃)	黃咖哩 (好吃到不行)	大雜燴 (好吃到不行)	黃咖哩 (超好吃)	大雜燴 (超好吃)	黃咖哩 (好吃)	大雜燴 (好吃)			
			80.00%	40.00%	3.81%	3.33%	3.33%	2.00%	2.00%	0.23%	0.23%			
#027		穿山鼠	大地蛤湯 (普通)	黃咖哩 (普通)	大雜燴 (普通)									
			33.33%	4.17%	4.17%									
#029		尼多蘭	白焗菜 (普通)	大雜燴 (普通)										
			4.17%	4.17%										
#032		尼多朗	藍蘇打 (普通)	大雜燴 (普通)										
			20.00%	4.17%										
#035		皮皮	大雜燴 (好吃)	白焗菜 (好吃)	白焗菜 (超好吃)	大雜燴 (超好吃)								
			4.65%	4.65%	2.00%	2.00%								
#037		六尾	焰辣湯 (普通)	紅燉湯 (普通)	大雜燴 (普通)	大雜燴 (好吃)								
			50.00%	14.29%	4.17%									
